"","x"
"451","Tangle"
"452","Tellins nei"
"453","Tench"
"454","Thickback sole"
"455","Thickback soles"
"456","Thicklip grey mullet"
"457","Threadfins, tasselfishes nei"
"458","Thresher"
"459","Tiger shark"
"460","Toadfishes nei"
"461","Tonguefishes"
"462","Tonguesole nei"
"463","Torpedo rays"
"464","Triggerfishes, durgons nei"
"465","True tunas nei"
"466","Tub gurnard"
"467","Tuberculate abalone"
"468","Tuna-like fishes nei"
"469","Tunas nei"
"470","Twaite shad"
"471","Undulate venus"
"472","Variegated scallop"
"473","Various sharks nei"
"474","Various squids nei"
"475","Veined squid"
"476","Velvet belly"
"477","Velvet swimcrab"
"478","Venus clams nei"
"479","Wahoo"
"480","Warty crab"
"481","Warty venus"
"482","Wedge sole"
"483","Weevers nei"
"484","West African croakers nei"
"485","West African goatfish"
"486","West African ilisha"
"487","Whelk"
"488","White grouper"
"489","White hake"
"490","White perch"
"491","White seabream"
"492","White trevally"
"493","Whiteleg shrimp"
"494","Wide-eyed flounder"
"495","Winter flounder"
"496","Wolffishes(=Catfishes) nei"
"497","Wracks nei"
"498","Wrasses, hogfishes, etc. nei"
"499","Wreckfish"
"500","Yellowfin tuna"
"501","Yellowtail amberjack"
"502","Yellowtail flounder"
"503","Zebra seabream"
"504","anglerfish"
"505","Abalones NEI"
"506","Abyssal smooth-head"
"507","Abyssal spiderfish"
"508","Aesop shrimp"
"509","African ray"
"510","African solenette"
"511","Alfonsinos, etc. NEI"
"512","Alloteuthis squids NEI"
"513","Amberjacks NEI"
"514","American lobster"
"515","American slipper-limpet"
"516","Angelsharks, sand devils NEI"
"517","Anomalous lanternfish"
"518","Anomuran decapods NEI"
"519","Antarctic starry skate"
"520","Aquatic invertebrates NEI"
"521","Aquatic mammals NEI"
"522","Arched razor shell"
"523","Arched swimming crab"
"524","Aristeid shrimps NEI"
"525","Arrow shrimp"
"526","Arrowhead dogfish"
"527","Ascidiaceans NEI"
"528","Atlantic bluefin tuna"
"529","Atlantic fanfish"
"530","Atlantic gobies NEI"
"531","Atlantic goliath grouper"
"532","Atlantic redfishes NEI"
"533","Atlantic soft pout"
"534","Babberlocks"
"535","Bahamas sawshark"
"536","Banded seabream"
"537","Barbeled houndshark"
"538","Barfin goby"
"539","Barracudas NEI"
"540","Bastard sole"
"541","Bathyraja rays NEI"
"542","Batoid fishes NEI"
"543","Bayer's moray"
"544","Bearded brotula"
"545","Bearded roguefish"
"546","Bermuda sea chub"
"547","Bifid clingfish"
"548","Big-lip damsel"
"549","Big-scale pomfret"
"550","Big-scale sand smelt"
"551","Bigeye rockling"
"552","Bigeye scad"
"553","Black dogfish"
"554","Black gemfish"
"555","Black legskate"
"556","Black scorpionfish"
"557","Black wing flyingfish"
"558","Black-striped pipefish"
"559","Blackspot skate"
"560","Blacktail comber"
"561","Blacktip shark"
"562","Blotched picarel"
"563","Blue antimora"
"564","Blue marlin"
"565","Blue runner"
"566","Blunt laurenzia"
"567","Boa dragonfish"
"568","Boarfishes NEI"
"569","Boeseman croaker"
"570","Bonefishes NEI"
"571","Bonitos NEI"
"572","Bowfin"
"573","Boxlip mullet"
"574","Brazilian menhaden"
"575","Bristlemouths"
"576","Brittle pen shell"
"577","Broadfin sawtail catshark"
"578","Broadnosed pipefish"
"579","Brook stickleback"
"580","Brown comber"
"581","Brown meagre"
"582","Brown wrasse"
"583","Butterfishes, pomfrets NEI"
"584","Cabinza grunt"
"585","California scorpionfish"
"586","Canary drum(=Baardman)"
"587","Canary tonguesole"
"588","Cape razor clam"
"589","Carangids NEI"
"590","Carcharhinus sharks NEI"
"591","Cardinal fish"
"592","Cardinalfishes, etc. NEI"
"593","Carpet shells NEI"
"594","Cartilaginous fishes NEI"
"595","Cassava croaker"
"596","Catsharks, etc. NEI"
"597","Catsharks, nursehounds NEI"
"598","Cephalopods NEI"
"599","Chaceon geryons NEI"
"600","Chilean jagged lobster"
"601","Chimaeras, etc. NEI"
"602","Chinese cup-and-saucer"
"603","Clams, etc. NEI"
"604","Club scallop"
"605","Clupeoids NEI"
"606","Cock grunter"
"607","Cockles NEI"
"608","Combers NEI"
"609","Combtooth blennies"
"610","Common bobtail squid"
"611","Common spider crab"
